category,rank,word,count
Affiliate License-Licensee,1,any,101
Affiliate License-Licensee,2,use,74
Affiliate License-Licensee,3,such,71
Affiliate License-Licensee,4,group,63
Affiliate License-Licensee,5,license,58
Affiliate License-Licensee,6,affiliates,58
Affiliate License-Licensee,7,right,50
Affiliate License-Licensee,8,grants,44
Affiliate License-Licensee,9,under,44
Affiliate License-Licensee,10,other,44
Affiliate License-Licensee,11,subject,43
Affiliate License-Licensee,12,rights,41
Affiliate License-Licensee,13,sublicense,40
Affiliate License-Licensee,14,business,38
Affiliate License-Licensee,15,equifax,38
Affiliate License-Licensee,16,spinco,37
Affiliate License-Licensee,17,software,37
Affiliate License-Licensee,18,licensee,36
Affiliate License-Licensee,19,terms,33
Affiliate License-Licensee,20,granted,32
Affiliate License-Licensor,1,group,55
Affiliate License-Licensor,2,any,48
Affiliate License-Licensor,3,equifax,45
Affiliate License-Licensor,4,license,40
Affiliate License-Licensor,5,use,39
Affiliate License-Licensor,6,licensed,36
Affiliate License-Licensor,7,certegy,36
Affiliate License-Licensor,8,all,34
Affiliate License-Licensor,9,under,33
Affiliate License-Licensor,10,grants,30
Affiliate License-Licensor,11,other,28
Affiliate License-Licensor,12,affiliates,25
Affiliate License-Licensor,13,such,25
Affiliate License-Licensor,14,property,24
Affiliate License-Licensor,15,rights,24
Affiliate License-Licensor,16,software,24
Affiliate License-Licensor,17,member,24
Affiliate License-Licensor,18,product,22
Affiliate License-Licensor,19,intellectual,21
Affiliate License-Licensor,20,subject,21
Agreement Date,1,day,121
Agreement Date,2,march,36
Agreement Date,3,april,36
Agreement Date,4,january,35
Agreement Date,5,june,35
Agreement Date,6,december,33
Agreement Date,7,november,28
Agreement Date,8,february,24
Agreement Date,9,october,22
Agreement Date,10,september,21
Agreement Date,11,july,16
Agreement Date,12,august,12
Agreement Date,13,date,5
Agreement Date,14,executed,2
Agreement Date,15,nov,2
Agreement Date,16,effective,2
Agreement Date,17,dec,2
Agreement Date,18,dated,2
Agreement Date,19,friday,1
Agreement Date,20,consulting,1
Anti-Assignment,1,any,662
Anti-Assignment,2,consent,465
Anti-Assignment,3,without,391
Anti-Assignment,4,written,360
Anti-Assignment,5,assign,350
Anti-Assignment,6,other,347
Anti-Assignment,7,not,322
Anti-Assignment,8,prior,305
Anti-Assignment,9,rights,298
Anti-Assignment,10,obligations,255
Anti-Assignment,11,such,245
Anti-Assignment,12,all,238
Anti-Assignment,13,under,211
Anti-Assignment,14,transfer,202
Anti-Assignment,15,assignment,180
Anti-Assignment,16,hereunder,158
Anti-Assignment,17,otherwise,155
Anti-Assignment,18,provided,147
Anti-Assignment,19,neither,136
Anti-Assignment,20,either,119
Audit Rights,1,such,392
Audit Rights,2,audit,363
Audit Rights,3,any,321
Audit Rights,4,records,306
Audit Rights,5,reasonable,215
Audit Rights,6,during,197
Audit Rights,7,business,190
Audit Rights,8,notice,162
Audit Rights,9,upon,161
Audit Rights,10,right,143
Audit Rights,11,all,139
Audit Rights,12,hours,132
Audit Rights,13,other,130
Audit Rights,14,books,126
Audit Rights,15,than,117
Audit Rights,16,time,107
Audit Rights,17,inspection,104
Audit Rights,18,not,104
Audit Rights,19,normal,98
Audit Rights,20,under,94
Cap On Liability,1,any,868
Cap On Liability,2,damages,472
Cap On Liability,3,such,352
Cap On Liability,4,liability,347
Cap On Liability,5,other,334
Cap On Liability,6,under,294
Cap On Liability,7,liable,236
Cap On Liability,8,consequential,225
Cap On Liability,9,event,218
Cap On Liability,10,not,218
Cap On Liability,11,arising,216
Cap On Liability,12,loss,214
Cap On Liability,13,special,185
Cap On Liability,14,breach,178
Cap On Liability,15,indirect,173
Cap On Liability,16,incidental,164
Cap On Liability,17,whether,150
Cap On Liability,18,claim,138
Cap On Liability,19,except,131
Cap On Liability,20,out,130
Change Of Control,1,any,204
Change Of Control,2,such,162
Change Of Control,3,change,160
Change Of Control,4,control,152
Change Of Control,5,other,87
Change Of Control,6,all,84
Change Of Control,7,transfer,76
Change Of Control,8,written,73
Change Of Control,9,notice,73
Change Of Control,10,terminate,66
Change Of Control,11,event,61
Change Of Control,12,not,58
Change Of Control,13,merger,55
Change Of Control,14,upon,51
Change Of Control,15,consent,51
Change Of Control,16,under,49
Change Of Control,17,without,44
Change Of Control,18,company,44
Change Of Control,19,provided,41
Change Of Control,20,prior,40
Competitive Restriction Exception,1,any,122
Competitive Restriction Exception,2,such,84
Competitive Restriction Exception,3,not,74
Competitive Restriction Exception,4,other,50
Competitive Restriction Exception,5,products,36
Competitive Restriction Exception,6,product,36
Competitive Restriction Exception,7,provided,34
Competitive Restriction Exception,8,than,27
Competitive Restriction Exception,9,services,27
Competitive Restriction Exception,10,use,24
Competitive Restriction Exception,11,right,24
Competitive Restriction Exception,12,period,24
Competitive Restriction Exception,13,exclusive,22
Competitive Restriction Exception,14,purchase,22
Competitive Restriction Exception,15,under,21
Competitive Restriction Exception,16,third,21
Competitive Restriction Exception,17,event,21
Competitive Restriction Exception,18,company,20
Competitive Restriction Exception,19,service,20
Competitive Restriction Exception,20,set,19
Covenant Not To Sue,1,any,404
Covenant Not To Sue,2,not,110
Covenant Not To Sue,3,rights,67
Covenant Not To Sue,4,validity,59
Covenant Not To Sue,5,contest,58
Covenant Not To Sue,6,other,53
Covenant Not To Sue,7,property,50
Covenant Not To Sue,8,ownership,48
Covenant Not To Sue,9,trademarks,48
Covenant Not To Sue,10,marks,48
Covenant Not To Sue,11,licensed,37
Covenant Not To Sue,12,challenge,36
Covenant Not To Sue,13,intellectual,36
Covenant Not To Sue,14,time,35
Covenant Not To Sue,15,agrees,34
Covenant Not To Sue,16,all,34
Covenant Not To Sue,17,assist,33
Covenant Not To Sue,18,company,33
Covenant Not To Sue,19,right,32
Covenant Not To Sue,20,interest,31
Document Name,1,license,42
Document Name,2,maintenance,31
Document Name,3,development,29
Document Name,4,sponsorship,25
Document Name,5,distributor,24
Document Name,6,strategic,24
Document Name,7,alliance,24
Document Name,8,services,20
Document Name,9,joint,19
Document Name,10,content,19
Document Name,11,amendment,18
Document Name,12,supply,17
Document Name,13,manufacturing,17
Document Name,14,outsourcing,16
Document Name,15,co-branding,16
Document Name,16,marketing,16
Document Name,17,endorsement,15
Document Name,18,hosting,15
Document Name,19,intellectual,13
Document Name,20,property,13
Effective Date,1,date,129
Effective Date,2,effective,99
Effective Date,3,day,83
Effective Date,4,term,39
Effective Date,5,january,30
Effective Date,6,april,28
Effective Date,7,december,28
Effective Date,8,march,27
Effective Date,9,june,27
Effective Date,10,february,23
Effective Date,11,september,20
Effective Date,12,october,20
Effective Date,13,november,19
Effective Date,14,period,18
Effective Date,15,upon,17
Effective Date,16,terminated,17
Effective Date,17,last,16
Effective Date,18,unless,16
Effective Date,19,provided,16
Effective Date,20,july,15
Exclusivity,1,any,230
Exclusivity,2,exclusive,229
Exclusivity,3,products,144
Exclusivity,4,product,132
Exclusivity,5,license,121
Exclusivity,6,territory,121
Exclusivity,7,right,120
Exclusivity,8,use,113
Exclusivity,9,other,112
Exclusivity,10,such,106
Exclusivity,11,not,102
Exclusivity,12,subject,94
