category,split,positive_count,negative_count,positive_rate,negative_to_positive_ratio
Document Name,train,408,0,1.0,0.0
Parties,train,407,1,0.9975490196078431,0.002457002457002457
Agreement Date,train,377,31,0.9240196078431373,0.08222811671087533
Governing Law,train,354,54,0.8676470588235294,0.15254237288135594
Expiration Date,train,335,73,0.821078431372549,0.21791044776119403
Effective Date,train,320,88,0.7843137254901961,0.275
Anti-Assignment,train,302,106,0.7401960784313726,0.3509933774834437
Cap On Liability,train,231,177,0.5661764705882353,0.7662337662337663
License Grant,train,205,203,0.5024509803921569,0.9902439024390244
Audit Rights,train,176,232,0.43137254901960786,1.3181818181818181
Termination For Convenience,train,154,254,0.37745098039215685,1.6493506493506493
Post-Termination Services,train,153,255,0.375,1.6666666666666667
Renewal Term,train,150,258,0.36764705882352944,1.72
Exclusivity,train,147,261,0.3602941176470588,1.7755102040816326
Insurance,train,134,274,0.3284313725490196,2.044776119402985
Minimum Commitment,train,133,275,0.32598039215686275,2.0676691729323307
Revenue/Profit Sharing,train,131,277,0.32107843137254904,2.114503816793893
Non-Transferable License,train,116,292,0.28431372549019607,2.5172413793103448
Ip Ownership Assignment,train,101,307,0.24754901960784315,3.0396039603960396
Uncapped Liability,train,98,310,0.24019607843137256,3.163265306122449
Non-Compete,train,96,312,0.23529411764705882,3.25
Change Of Control,train,95,313,0.23284313725490197,3.294736842105263
Notice Period To Terminate Renewal,train,95,313,0.23284313725490197,3.294736842105263
Covenant Not To Sue,train,76,332,0.18627450980392157,4.368421052631579
Rofr/Rofo/Rofn,train,68,340,0.16666666666666666,5.0
Volume Restriction,train,65,343,0.15931372549019607,5.276923076923077
Warranty Duration,train,65,343,0.15931372549019607,5.276923076923077
Competitive Restriction Exception,train,60,348,0.14705882352941177,5.8
Irrevocable Or Perpetual License,train,57,351,0.13970588235294118,6.157894736842105
No-Solicit Of Employees,train,49,359,0.12009803921568628,7.326530612244898
Affiliate License-Licensee,train,47,361,0.11519607843137254,7.680851063829787
Liquidated Damages,train,47,361,0.11519607843137254,7.680851063829787
Joint Ip Ownership,train,39,369,0.09558823529411764,9.461538461538462
Non-Disparagement,train,31,377,0.07598039215686274,12.161290322580646
No-Solicit Of Customers,train,27,381,0.0661764705882353,14.11111111111111
Third Party Beneficiary,train,26,382,0.06372549019607843,14.692307692307692
Most Favored Nation,train,25,383,0.061274509803921566,15.32
Affiliate License-Licensor,train,17,391,0.041666666666666664,23.0
Price Restrictions,train,15,393,0.03676470588235294,26.2
Unlimited/All-You-Can-Eat-License,train,14,394,0.03431372549019608,28.142857142857142
Source Code Escrow,train,12,396,0.029411764705882353,33.0
Document Name,test,102,0,1.0,0.0
Parties,test,102,0,1.0,0.0
Agreement Date,test,93,9,0.9117647058823529,0.0967741935483871
Governing Law,test,83,19,0.8137254901960784,0.2289156626506024
Expiration Date,test,78,24,0.7647058823529411,0.3076923076923077
Anti-Assignment,test,72,30,0.7058823529411765,0.4166666666666667
Effective Date,test,70,32,0.6862745098039216,0.45714285714285713
License Grant,test,50,52,0.49019607843137253,1.04
Cap On Liability,test,44,58,0.43137254901960786,1.3181818181818181
Audit Rights,test,38,64,0.37254901960784315,1.6842105263157894
Revenue/Profit Sharing,test,35,67,0.3431372549019608,1.9142857142857144
Exclusivity,test,33,69,0.3235294117647059,2.090909090909091
Insurance,test,32,70,0.3137254901960784,2.1875
Minimum Commitment,test,32,70,0.3137254901960784,2.1875
Post-Termination Services,test,29,73,0.28431372549019607,2.5172413793103448
Termination For Convenience,test,29,73,0.28431372549019607,2.5172413793103448
Change Of Control,test,26,76,0.2549019607843137,2.923076923076923
Renewal Term,test,26,76,0.2549019607843137,2.923076923076923
Covenant Not To Sue,test,24,78,0.23529411764705882,3.25
Ip Ownership Assignment,test,23,79,0.22549019607843138,3.4347826086956523
Non-Compete,test,23,79,0.22549019607843138,3.4347826086956523
Non-Transferable License,test,22,80,0.21568627450980393,3.6363636363636362
Rofr/Rofo/Rofn,test,17,85,0.16666666666666666,5.0
Volume Restriction,test,17,85,0.16666666666666666,5.0
Competitive Restriction Exception,test,16,86,0.1568627450980392,5.375
Notice Period To Terminate Renewal,test,16,86,0.1568627450980392,5.375
Liquidated Damages,test,14,88,0.13725490196078433,6.285714285714286
Irrevocable Or Perpetual License,test,13,89,0.12745098039215685,6.846153846153846
Uncapped Liability,test,13,89,0.12745098039215685,6.846153846153846
Affiliate License-Licensee,test,12,90,0.11764705882352941,7.5
No-Solicit Of Employees,test,10,92,0.09803921568627451,9.2
Warranty Duration,test,10,92,0.09803921568627451,9.2
Joint Ip Ownership,test,7,95,0.06862745098039216,13.571428571428571
No-Solicit Of Customers,test,7,95,0.06862745098039216,13.571428571428571
Non-Disparagement,test,7,95,0.06862745098039216,13.571428571428571
Affiliate License-Licensor,test,6,96,0.058823529411764705,16.0
Third Party Beneficiary,test,6,96,0.058823529411764705,16.0
Most Favored Nation,test,3,99,0.029411764705882353,33.0
Unlimited/All-You-Can-Eat-License,test,3,99,0.029411764705882353,33.0
Source Code Escrow,test,1,101,0.00980392156862745,101.0
Price Restrictions,test,0,102,0.0,inf
Document Name,overall,510,0,1.0,0.0
Parties,overall,509,1,0.9980392156862745,0.0019646365422396855
Agreement Date,overall,470,40,0.9215686274509803,0.0851063829787234
Governing Law,overall,437,73,0.8568627450980392,0.16704805491990846
Expiration Date,overall,413,97,0.8098039215686275,0.23486682808716708
Effective Date,overall,390,120,0.7647058823529411,0.3076923076923077
Anti-Assignment,overall,374,136,0.7333333333333333,0.36363636363636365
Cap On Liability,overall,275,235,0.5392156862745098,0.8545454545454545
License Grant,overall,255,255,0.5,1.0
Audit Rights,overall,214,296,0.4196078431372549,1.3831775700934579
Termination For Convenience,overall,183,327,0.3588235294117647,1.7868852459016393
Post-Termination Services,overall,182,328,0.3568627450980392,1.8021978021978022
Exclusivity,overall,180,330,0.35294117647058826,1.8333333333333333
Renewal Term,overall,176,334,0.34509803921568627,1.8977272727272727
Insurance,overall,166,344,0.3254901960784314,2.072289156626506
Revenue/Profit Sharing,overall,166,344,0.3254901960784314,2.072289156626506
Minimum Commitment,overall,165,345,0.3235294117647059,2.090909090909091
Non-Transferable License,overall,138,372,0.27058823529411763,2.6956521739130435
Ip Ownership Assignment,overall,124,386,0.24313725490196078,3.1129032258064515
Change Of Control,overall,121,389,0.2372549019607843,3.2148760330578514
Non-Compete,overall,119,391,0.23333333333333334,3.2857142857142856
Notice Period To Terminate Renewal,overall,111,399,0.21764705882352942,3.5945945945945947
Uncapped Liability,overall,111,399,0.21764705882352942,3.5945945945945947
Covenant Not To Sue,overall,100,410,0.19607843137254902,4.1
Rofr/Rofo/Rofn,overall,85,425,0.16666666666666666,5.0
Volume Restriction,overall,82,428,0.1607843137254902,5.219512195121951
Competitive Restriction Exception,overall,76,434,0.14901960784313725,5.7105263157894735
Warranty Duration,overall,75,435,0.14705882352941177,5.8
Irrevocable Or Perpetual License,overall,70,440,0.13725490196078433,6.285714285714286
Liquidated Damages,overall,61,449,0.11960784313725491,7.360655737704918
Affiliate License-Licensee,overall,59,451,0.11568627450980393,7.6440677966101696
No-Solicit Of Employees,overall,59,451,0.11568627450980393,7.6440677966101696
Joint Ip Ownership,overall,46,464,0.09019607843137255,10.08695652173913
Non-Disparagement,overall,38,472,0.07450980392156863,12.421052631578947
No-Solicit Of Customers,overall,34,476,0.06666666666666667,14.0
Third Party Beneficiary,overall,32,478,0.06274509803921569,14.9375
Most Favored Nation,overall,28,482,0.054901960784313725,17.214285714285715
Affiliate License-Licensor,overall,23,487,0.045098039215686274,21.17391304347826
Unlimited/All-You-Can-Eat-License,overall,17,493,0.03333333333333333,29.0
Price Restrictions,overall,15,495,0.029411764705882353,33.0
Source Code Escrow,overall,13,497,0.025490196078431372,38.23076923076923
