word,count
any,50555
such,30027
other,21308
all,18009
not,17336
under,11660
each,9391
information,9176
product,9030
company,9026
date,8391
time,7627
use,7227
provided,6922
services,6745
rights,6562
products,6534
applicable,6279
confidential,5993
upon,5715
set,5684
written,5642
notice,5474
terms,5463
business,5427
respect,5364
term,5348
right,5306
without,5246
forth,5202
termination,4822
within,4679
subject,4656
event,4621
prior,4596
third,4565
means,4509
obligations,4492
provide,4382
required,4331
pursuant,4265
otherwise,4249
than,4227
reasonable,4082
material,3943
days,3924
accordance,3900
period,3885
during,3882
after,3857
property,3850
service,3824
inc,3798
customer,3764
except,3639
law,3485
exhibit,3470
effective,3453
software,3441
source,3416
following,3410
one,3394
license,3362
payment,3317
order,3294
connection,3228
either,3216
distributor,3193
made,3154
hereunder,3141
but,3116
breach,3066
licensed,2982
agrees,2981
writing,2980
between,2947
securities,2915
development,2907
laws,2897
materials,2835
act,2791
costs,2777
agent,2731
extent,2728
provisions,2706
data,2695
fees,2645
agree,2642
performance,2632
affiliates,2572
conditions,2539
purchase,2538
necessary,2535
liability,2514
request,2511
claim,2478
action,2476
person,2465
intellectual,2455
reasonably,2444
article,2416
delivery,2409
limited,2378
related,2362
make,2321
consent,2314
approval,2309
licensee,2299
due,2279
bank,2218
regulatory,2205
only,2187
expenses,2186
plan,2184
control,2183
name,2182
amount,2178
pay,2178
iii,2178
case,2172
sale,2168
year,2164
page,2162
transfer,2158
territory,2157
deemed,2155
unless,2151
against,2147
sales,2141
authority,2129
effect,2074
whether,2066
first,2055
provision,2053
work,2052
new,2041
out,2040
relating,2033
agreed,2002
requested,1990
hereto,1981
party's,1980
then,1972
exchange,1966
day,1963
used,1942
support,1933
marketing,1931
part,1930
additional,1922
schedule,1920
receipt,1913
employees,1907
interest,1897
more,1882
limitation,1873
obligation,1868
defined,1865
form,1856
contract,1847
filed,1833
title,1833
state,1830
through,1828
change,1823
statement,1819
available,1811
perform,1808
application,1798
group,1787
failure,1782
sole,1778
same,1770
arising,1756
affiliate,1753
commission,1747
good,1738
foregoing,1731
requirements,1730
disclosure,1729
content,1727
joint,1724
activities,1719
site,1711
maintenance,1704
system,1700
permitted,1695
corporation,1690
meaning,1688
terminate,1685
payments,1668
shares,1667
similar,1662
responsible,1651
ibm,1646
paid,1645
above,1639
hereof,1630
treatment,1616
legal,1608
