split,strategy,contract_title,contract_words,chunk_count,span_count,covered_span_count,span_coverage
train,fixed_300_no_overlap,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,5998,20,46,37,0.8043478260869565
train,fixed_300_no_overlap,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",11313,38,27,25,0.9259259259259259
train,fixed_300_no_overlap,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,170,1,4,4,1.0
train,fixed_300_no_overlap,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,3770,13,23,23,1.0
train,fixed_300_no_overlap,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",2766,10,24,19,0.7916666666666666
train,fixed_300_no_overlap,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",1334,5,16,16,1.0
train,fixed_300_no_overlap,"MetLife, Inc. - Remarketing Agreement",17518,59,16,15,0.9375
train,fixed_300_no_overlap,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",5761,20,33,29,0.8787878787878788
train,fixed_300_no_overlap,DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,1847,7,13,13,1.0
train,fixed_300_no_overlap,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,1014,4,12,12,1.0
train,fixed_300_no_overlap,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,9608,33,40,30,0.75
train,fixed_300_no_overlap,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,9599,32,26,23,0.8846153846153846
train,fixed_300_no_overlap,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,3784,13,12,10,0.8333333333333334
train,fixed_300_no_overlap,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,3596,12,22,18,0.8181818181818182
train,fixed_300_no_overlap,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement",1236,5,14,11,0.7857142857142857
train,fixed_300_no_overlap,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,7774,26,35,30,0.8571428571428571
train,fixed_300_no_overlap,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,26842,90,43,40,0.9302325581395349
train,fixed_300_no_overlap,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT",8844,30,17,17,1.0
train,fixed_300_no_overlap,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,997,4,10,10,1.0
train,fixed_300_no_overlap,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,3326,12,21,21,1.0
train,fixed_300_no_overlap,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",3507,12,11,10,0.9090909090909091
train,fixed_300_no_overlap,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,19581,66,45,27,0.6
train,fixed_300_no_overlap,ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,7522,26,24,19,0.7916666666666666
train,fixed_300_no_overlap,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,3199,11,12,11,0.9166666666666666
train,fixed_300_no_overlap,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,24389,82,84,69,0.8214285714285714
train,fixed_300_no_overlap,CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,8396,28,53,44,0.8301886792452831
train,fixed_300_no_overlap,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement,11876,40,33,28,0.8484848484848485
train,fixed_300_no_overlap,HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,3519,12,22,20,0.9090909090909091
train,fixed_300_no_overlap,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,12890,43,30,25,0.8333333333333334
train,fixed_300_no_overlap,BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,4739,16,17,14,0.8235294117647058
train,fixed_300_no_overlap,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,12422,42,67,56,0.835820895522388
train,fixed_300_no_overlap,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,24801,83,52,45,0.8653846153846154
train,fixed_300_no_overlap,NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT,18608,63,29,27,0.9310344827586207
train,fixed_300_no_overlap,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,7249,25,32,27,0.84375
train,fixed_300_no_overlap,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,5471,19,30,24,0.8
train,fixed_300_no_overlap,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,4045,14,13,11,0.8461538461538461
train,fixed_300_no_overlap,GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,223,1,5,5,1.0
train,fixed_300_no_overlap,"Zounds Hearing, Inc. - MANUFACTURING DESIGN MARKETING AGREEMENT",6897,23,31,28,0.9032258064516129
train,fixed_300_no_overlap,CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,5793,20,12,11,0.9166666666666666
train,fixed_300_no_overlap,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,3607,13,17,17,1.0
train,fixed_300_no_overlap,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,9583,32,33,26,0.7878787878787878
train,fixed_300_no_overlap,Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,4366,15,15,14,0.9333333333333333
train,fixed_300_no_overlap,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,7337,25,49,39,0.7959183673469388
train,fixed_300_no_overlap,VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement,45143,151,26,25,0.9615384615384616
train,fixed_300_no_overlap,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,15862,53,39,33,0.8461538461538461
train,fixed_300_no_overlap,WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,10958,37,26,24,0.9230769230769231
train,fixed_300_no_overlap,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,10830,37,43,38,0.8837209302325582
train,fixed_300_no_overlap,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,820,3,8,8,1.0
train,fixed_300_no_overlap,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,2549,9,13,13,1.0
train,fixed_300_no_overlap,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,2820,10,6,6,1.0
train,fixed_300_no_overlap,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT,2909,10,19,19,1.0
train,fixed_300_no_overlap,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,1088,4,13,12,0.9230769230769231
train,fixed_300_no_overlap,SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,2845,10,13,12,0.9230769230769231
train,fixed_300_no_overlap,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,1849,7,7,7,1.0
train,fixed_300_no_overlap,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",188,1,6,6,1.0
train,fixed_300_no_overlap,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,5339,18,21,19,0.9047619047619048
train,fixed_300_no_overlap,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,10095,34,28,24,0.8571428571428571
train,fixed_300_no_overlap,"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT",8147,28,47,43,0.9148936170212766
train,fixed_300_no_overlap,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,7708,26,27,26,0.9629629629629629
train,fixed_300_no_overlap,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,33948,114,95,76,0.8
train,fixed_300_no_overlap,"Antares Pharma, Inc. - Manufacturing Agreement",16365,55,20,17,0.85
train,fixed_300_no_overlap,RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,5415,19,33,28,0.8484848484848485
train,fixed_300_no_overlap,VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,2381,8,14,12,0.8571428571428571
train,fixed_300_no_overlap,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT,4115,14,16,14,0.875
train,fixed_300_no_overlap,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,7251,25,30,25,0.8333333333333334
train,fixed_300_no_overlap,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,6030,21,25,23,0.92
train,fixed_300_no_overlap,BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,9252,31,27,22,0.8148148148148148
train,fixed_300_no_overlap,TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT,15095,51,62,60,0.967741935483871
train,fixed_300_no_overlap,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,16157,54,65,60,0.9230769230769231
train,fixed_300_no_overlap,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,12142,41,40,32,0.8
train,fixed_300_no_overlap,PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,682,3,9,9,1.0
train,fixed_300_no_overlap,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,7663,26,37,31,0.8378378378378378
train,fixed_300_no_overlap,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,34155,114,41,33,0.8048780487804879
train,fixed_300_no_overlap,PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement2,4870,17,21,17,0.8095238095238095
train,fixed_300_no_overlap,"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT TO THE DISTRIBUTOR AGREEMENT BETWEEN INGRAM MICRO AND NETGEAR",973,4,8,8,1.0
train,fixed_300_no_overlap,NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_Amendment,2848,10,32,28,0.875
train,fixed_300_no_overlap,SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,3885,13,28,23,0.8214285714285714
train,fixed_300_no_overlap,NUVEEN - REMARKETING AGREEMENT,11298,38,17,15,0.8823529411764706
train,fixed_300_no_overlap,SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT,1538,6,13,13,1.0
train,fixed_300_no_overlap,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,5299,18,12,11,0.9166666666666666
train,fixed_300_no_overlap,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT,2320,8,15,11,0.7333333333333333
train,fixed_300_no_overlap,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,7965,27,20,19,0.95
train,fixed_300_no_overlap,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,4627,16,13,12,0.9230769230769231
train,fixed_300_no_overlap,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,5066,17,31,25,0.8064516129032258
train,fixed_300_no_overlap,PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement,970,4,13,12,0.9230769230769231
train,fixed_300_no_overlap,INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,9916,34,29,25,0.8620689655172413
train,fixed_300_no_overlap,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement",3194,11,14,14,1.0
train,fixed_300_no_overlap,BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,302,2,6,6,1.0
train,fixed_300_no_overlap,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,2901,10,25,22,0.88
train,fixed_300_no_overlap,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT,2765,10,9,9,1.0
train,fixed_300_no_overlap,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",5813,20,28,26,0.9285714285714286
train,fixed_300_no_overlap,AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,25298,85,56,47,0.8392857142857143
train,fixed_300_no_overlap,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),17975,60,51,43,0.8431372549019608
train,fixed_300_no_overlap,"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement",1217,5,14,12,0.8571428571428571
train,fixed_300_no_overlap,ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,2588,9,18,18,1.0
train,fixed_300_no_overlap,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,2500,9,15,12,0.8
train,fixed_300_no_overlap,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement,4301,15,19,16,0.8421052631578947
train,fixed_300_no_overlap,RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement,805,3,10,9,0.9
train,fixed_300_no_overlap,"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",28275,95,69,58,0.8405797101449275
train,fixed_300_no_overlap,MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT,2175,8,17,15,0.8823529411764706
train,fixed_300_no_overlap,RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,5760,20,20,17,0.85
train,fixed_300_no_overlap,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,387,2,6,6,1.0
