split,strategy,avg_chunks_per_contract,avg_chunk_words,p95_chunk_words,max_chunk_words,span_coverage,split_spans,word_redundancy_ratio
test,paragraph_600_overlap_100,14.568627450980392,582.2415881561238,696.0,700,0.9981082103670071,5,1.1904208934647384
test,paragraph_400_overlap_75,22.470588235294116,388.7447643979058,473.0,475,0.9977298524404086,6,1.2259074229751614
test,paragraph_500_overlap_75,17.91176470588235,468.58949096880133,572.0,575,0.9973514945138101,7,1.1779031962917457
test,paragraph_350_overlap_50,25.715686274509803,325.12352268394966,398.0,400,0.9954597048808173,12,1.1733435514872506
test,paragraph_325_overlap_50,27.784313725490197,304.6319689484827,373.0,375,0.9950813469542187,13,1.1878287477762444
test,paragraph_500_no_overlap,17.91176470588235,397.81663929939793,498.0,500,0.9928111993946274,19,1.0
test,fixed_500_overlap_100,18.11764705882353,487.7765151515151,500.0,500,0.9912977676882331,23,1.2402275144432322
test,paragraph_300_overlap_50,30.372549019607842,282.9383473208522,348.0,350,0.9909194097616345,24,1.2060122920539178
test,fixed_350_overlap_50,24.08823529411765,343.73667073667076,350.0,350,0.9614074914869466,102,1.1620091055308739
test,fixed_500_no_overlap,14.745098039215685,483.25199468085106,500.0,500,0.917896329928112,217,1.0
test,fixed_300_no_overlap,24.264705882352942,293.6610101010101,300.0,300,0.8717366628830874,339,1.0
train,paragraph_600_overlap_100,16.061274509803923,594.6442850602778,697.0,700,0.9983899821109123,18,1.1871526735813331
train,paragraph_500_overlap_75,19.607843137254903,481.446625,573.0,575,0.9968694096601073,35,1.17340326194745
train,paragraph_400_overlap_75,25.029411764705884,393.4056991774383,473.0,475,0.9959749552772809,45,1.223941359891177
train,paragraph_350_overlap_50,28.659313725490197,328.9537330026512,398.0,400,0.9917710196779964,92,1.171844339270563
train,paragraph_500_no_overlap,19.607843137254903,410.299375,498.0,500,0.9909660107334526,101,1.0
train,paragraph_300_overlap_50,33.372549019607845,289.5596357226792,348.0,350,0.99087656529517,102,1.20114855159114
train,paragraph_325_overlap_50,30.82598039215686,309.3471416076966,373.0,375,0.9906976744186047,104,1.185311030512781
train,fixed_500_overlap_100,20.362745098039216,490.1775397207511,500.0,500,0.9902504472271915,109,1.2406779196288076
train,fixed_350_overlap_50,27.13480392156863,344.64321199530303,350.0,350,0.9621645796064401,423,1.1624271301899984
train,fixed_500_no_overlap,16.566176470588236,485.6332297677171,500.0,500,0.9220035778175313,872,1.0
train,fixed_300_no_overlap,27.313725490196077,294.5437006460876,300.0,300,0.8674418604651163,1482,1.0
